fecha,mensaje
04/08/2021,El menú del día es delicioso
04/08/2021,El salmón sí que ha estado delicioso hoy también
04/08/2021,Hemos estado viendo una película muy entretenida. Me ha gustado la escena de los dos animales.
05/08/2021,Estoy aburrido porque no tengo planes de fiesta
05/08/2021,Mi mejor amiga me ha invitado a su casa.
05/08/2021,Hemos celebrado una fiesta maravillosa
05/08/2021,Me hizo mucha ilusión recibir una colonia de regalo
06/08/2021,Mañana me voy a la playa con mis grandes amigos
06/08/2021,"Estoy emocionada, hacía tiempo que no veraneaba"
06/08/2021,El mar transmite calma
06/08/2021,"Me duele la cabeza, estoy cansada"
07/08/2021,Me da miedo nadar a gran distancia
07/08/2021,Las medusas me ponen muy nerviosa. Me entra ansiedad
07/08/2021,La paella de hoy ha estado deliciosa
08/08/2021,Me gustaría pasear por la orilla
08/08/2021,Pasear no me pareció mala idea
09/08/2021,Estoy muy entretenida. No echo de menos mi casa.
